url,label,source_name,source_reference,category
https://accounts.google.com/,0,google_accounts,https://accounts.google.com/,signin
https://myaccount.google.com/security,0,google_account_security,https://myaccount.google.com/security,security
https://myaccount.google.com/security-checkup,0,google_security_checkup,https://myaccount.google.com/security-checkup,security
https://support.google.com/accounts/answer/46526?hl=en,0,google_account_help,https://support.google.com/accounts/answer/46526?hl=en,account-security
https://support.google.com/accounts/answer/2590353?hl=en,0,google_account_help,https://support.google.com/accounts/answer/2590353?hl=en,security-alert
https://github.com/login,0,github_login,https://github.com/login,signin
https://docs.github.com/en/authentication,0,github_docs,https://docs.github.com/en/authentication,authentication
https://docs.github.com/en/authentication/keeping-your-account-and-data-secure/about-authentication-to-github,0,github_docs,https://docs.github.com/en/authentication/keeping-your-account-and-data-secure/about-authentication-to-github,account-security
https://docs.github.com/en/get-started/start-your-journey/creating-an-account-on-github,0,github_docs,https://docs.github.com/en/get-started/start-your-journey/creating-an-account-on-github,account
https://docs.github.com/desktop/getting-started-with-github-desktop/authenticating-to-github-using-the-browser?platform=windows,0,github_docs,https://docs.github.com/desktop/getting-started-with-github-desktop/authenticating-to-github-using-the-browser?platform=windows,authentication
https://support.microsoft.com/en-us/account-billing/how-to-help-keep-your-microsoft-account-safe-and-secure-628538c2-7006-33bb-5ef4-c917657362b9,0,microsoft_support,https://support.microsoft.com/en-us/account-billing/how-to-help-keep-your-microsoft-account-safe-and-secure-628538c2-7006-33bb-5ef4-c917657362b9,account-security
https://support.microsoft.com/en-us/account-billing/microsoft-account-security-info-verification-codes-bf2505ca-cae5-c5b4-77d1-69d3343a5452,0,microsoft_support,https://support.microsoft.com/en-us/account-billing/microsoft-account-security-info-verification-codes-bf2505ca-cae5-c5b4-77d1-69d3343a5452,verification
https://support.microsoft.com/en-us/account-billing/help-us-secure-your-account-548970dd-45df-49ca-a21c-c87e47bd421c,0,microsoft_support,https://support.microsoft.com/en-us/account-billing/help-us-secure-your-account-548970dd-45df-49ca-a21c-c87e47bd421c,secure-account
https://support.microsoft.com/en-gb/account-billing/what-happens-if-there-s-an-unusual-sign-in-to-your-account-eba43e04-d348-b914-1e95-fb5052d3d8f0,0,microsoft_support,https://support.microsoft.com/en-gb/account-billing/what-happens-if-there-s-an-unusual-sign-in-to-your-account-eba43e04-d348-b914-1e95-fb5052d3d8f0,signin-alert
https://account.microsoft.com/account/AccountSecurity,0,microsoft_account,https://account.microsoft.com/account/AccountSecurity,account-security
https://account.microsoft.com/account/account-protection,0,microsoft_account,https://account.microsoft.com/account/account-protection,account-protection
https://account.microsoft.com/account/accountRestore,0,microsoft_account,https://account.microsoft.com/account/accountRestore,account-restore
https://support.apple.com/account,0,apple_support,https://support.apple.com/account,account
https://support.apple.com/en-us/ht201303,0,apple_support,https://support.apple.com/en-us/ht201303,account-security
https://support.apple.com/en-us/ht204915,0,apple_support,https://support.apple.com/en-us/ht204915,two-factor-authentication
https://support.apple.com/guide/personal-safety/keep-your-apple-id-secure-ips7d5628cc5/web,0,apple_support,https://support.apple.com/guide/personal-safety/keep-your-apple-id-secure-ips7d5628cc5/web,account-security
https://support.apple.com/guide/iphone/keep-your-apple-account-secure-iph904b71f28/ios,0,apple_support,https://support.apple.com/guide/iphone/keep-your-apple-account-secure-iph904b71f28/ios,account-security
https://www.paypal.com/us/signin,0,paypal,https://www.paypal.com/us/signin,signin
https://www.paypal.com/us/security,0,paypal,https://www.paypal.com/us/security,security
https://www.paypal.com/us/security/learn,0,paypal,https://www.paypal.com/us/security/learn,security-learn
https://www.paypal.com/us/security/learn-about-paypal-secure-technology,0,paypal,https://www.paypal.com/us/security/learn-about-paypal-secure-technology,secure-technology
https://help.dropbox.com/account-access/sign-in-out,0,dropbox_help,https://help.dropbox.com/account-access/sign-in-out,signin
https://help.dropbox.com/account-access/issues,0,dropbox_help,https://help.dropbox.com/account-access/issues,signin-troubleshooting
https://help.dropbox.com/account-access/sign-in-with-apple,0,dropbox_help,https://help.dropbox.com/account-access/sign-in-with-apple,signin
https://help.dropbox.com/security/sign-in-as-user,0,dropbox_help,https://help.dropbox.com/security/sign-in-as-user,security
https://help.dropbox.com/account-access/how-to-access-your-dropbox-sign-account,0,dropbox_help,https://help.dropbox.com/account-access/how-to-access-your-dropbox-sign-account,signin
https://sign.dropbox.com/,0,dropbox_sign,https://help.dropbox.com/account-access/how-to-access-your-dropbox-sign-account,signin
https://account.adobe.com/,0,adobe_account,https://account.adobe.com/,signin
https://account.adobe.com/index.html,0,adobe_account,https://account.adobe.com/index.html,signin
https://docs.aws.amazon.com/signin/latest/userguide/sign-in-urls-defined.html,0,aws_docs,https://docs.aws.amazon.com/signin/latest/userguide/sign-in-urls-defined.html,signin
https://console.aws.amazon.com/,0,aws_console,https://docs.aws.amazon.com/signin/latest/userguide/sign-in-urls-defined.html,signin
https://docs.aws.amazon.com/signin/latest/APIReference/Welcome.html,0,aws_docs,https://docs.aws.amazon.com/signin/latest/APIReference/Welcome.html,signin
https://auth.atlassian.com/login,0,atlassian_auth,https://auth.atlassian.com/login,signin
https://id.atlassian.com/login,0,atlassian_id,https://id.atlassian.com/login,signin
https://support.atlassian.com/atlassian-account/docs/log-in-with-your-atlassian-account/,0,atlassian_support,https://support.atlassian.com/atlassian-account/docs/log-in-with-your-atlassian-account/,signin
https://support.atlassian.com/atlassian-account/docs/manage-your-atlassian-account/,0,atlassian_support,https://support.atlassian.com/atlassian-account/docs/manage-your-atlassian-account/,account
https://pay.amazon.com/signin,0,amazon_pay,https://pay.amazon.com/signin,signin
